baiping-2021-10-28 15:12:56,795-INFO-打开浏览器
baiping-2021-10-28 15:14:14,400-INFO-打开浏览器
baiping-2021-10-28 15:14:14,400-ERROR-division by zero
baiping-2021-10-28 15:14:28,152-INFO-打开浏览器
baiping-2021-10-28 15:14:28,152-ERROR-division by zero
baiping-2021-10-28 15:16:13,953-INFO-打开浏览器
baiping-2021-10-28 15:16:13,954-ERROR-division by zero
Traceback (most recent call last):
  File "D:/Python/pythonwork/Project04/quote/util/loginfo.py", line 63, in <module>
    print(2/0)
ZeroDivisionError: division by zero
Stack (most recent call last):
  File "D:/Python/pythonwork/Project04/quote/util/loginfo.py", line 65, in <module>
    log.set_info('error',e)
  File "D:/Python/pythonwork/Project04/quote/util/loginfo.py", line 43, in set_info
    self.logger.error(mes,exc_info=True,stack_info=True)
baiping-2021-10-28 15:28:55,247-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:28:55,500-INFO-输入用户名:admin
baiping-2021-10-28 15:28:55,672-INFO-输入密码:admin
baiping-2021-10-28 15:28:55,756-INFO-提交
baiping-2021-10-28 15:30:22,379-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:30:22,732-INFO-输入用户名:admin
baiping-2021-10-28 15:30:22,820-INFO-输入密码:admin
baiping-2021-10-28 15:30:22,864-INFO-提交
baiping-2021-10-28 15:30:23,034-INFO-切换frame:Links
baiping-2021-10-28 15:30:28,099-INFO-点击客户
baiping-2021-10-28 15:30:28,153-INFO-切换frame:main
baiping-2021-10-28 15:30:33,233-INFO-点击新增连接
baiping-2021-10-28 15:39:44,807-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:39:45,116-INFO-输入用户名:admin
baiping-2021-10-28 15:39:45,116-INFO-输入内容:admin
baiping-2021-10-28 15:39:45,177-INFO-输入密码:admin
baiping-2021-10-28 15:39:45,177-INFO-输入内容:admin
baiping-2021-10-28 15:39:45,265-INFO-提交
baiping-2021-10-28 15:39:45,266-INFO-点击按钮:submit
baiping-2021-10-28 15:39:45,477-INFO-切换frame:Links
baiping-2021-10-28 15:39:50,552-INFO-点击按钮://*[@id="Bar_panel0_b0"]/img
baiping-2021-10-28 15:39:50,601-INFO-切换frame:main
baiping-2021-10-28 15:39:55,657-INFO-点击按钮:/html/body/center/table[2]/tbody/tr[2]/td[2]/a
baiping-2021-10-28 15:39:55,781-INFO-切换窗体:新增客户信息
baiping-2021-10-28 15:39:56,027-INFO-输入内容:c004
baiping-2021-10-28 15:39:56,142-INFO-输入内容:mike
baiping-2021-10-28 15:39:56,188-INFO-输入内容:
baiping-2021-10-28 15:39:56,230-INFO-输入内容:
baiping-2021-10-28 15:39:56,269-INFO-输入内容:
baiping-2021-10-28 15:39:56,311-INFO-输入内容:
baiping-2021-10-28 15:39:56,350-INFO-点击按钮:saveButton
baiping-2021-10-28 15:39:56,472-INFO-获取页面文本内容:添加记录成功！
本窗口将在3秒后自动关闭
baiping-2021-10-28 15:39:56,473-INFO-切换窗体:报价管理系统
baiping-2021-10-28 15:39:56,496-INFO-切换frame:Links
baiping-2021-10-28 15:40:01,593-INFO-点击按钮://*[@id="Bar_panel0_b1"]/img
baiping-2021-10-28 15:40:01,642-INFO-切换frame:main
baiping-2021-10-28 15:40:06,702-INFO-输入内容:c004
baiping-2021-10-28 15:40:06,758-INFO-输入内容:
baiping-2021-10-28 15:40:06,815-INFO-输入内容:
baiping-2021-10-28 15:40:06,858-INFO-输入内容:
baiping-2021-10-28 15:40:06,893-INFO-输入内容:
baiping-2021-10-28 15:40:06,940-INFO-输入内容:
baiping-2021-10-28 15:40:06,979-INFO-点击按钮:/html/body/center/form/table[3]/tbody/tr/td/input
baiping-2021-10-28 15:40:07,163-INFO-获取页面文本内容:c004
baiping-2021-10-28 15:40:07,181-INFO-获取页面文本内容:mike
baiping-2021-10-28 15:40:07,194-INFO-获取页面文本内容:
baiping-2021-10-28 15:40:07,210-INFO-获取页面文本内容:
baiping-2021-10-28 15:40:07,225-INFO-获取页面文本内容:
baiping-2021-10-28 15:40:07,238-INFO-获取页面文本内容:
baiping-2021-10-28 15:42:46,194-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:42:46,365-INFO-输入用户名:admin
baiping-2021-10-28 15:42:46,365-INFO-输入内容:admin
baiping-2021-10-28 15:42:46,470-INFO-输入密码:admin
baiping-2021-10-28 15:42:46,471-INFO-输入内容:admin
baiping-2021-10-28 15:42:46,526-INFO-提交
baiping-2021-10-28 15:42:46,527-INFO-点击按钮:submit
baiping-2021-10-28 15:42:46,755-INFO-切换frame:main
baiping-2021-10-28 15:42:51,830-INFO-获取页面文本内容:欢迎使用报价管理系统
baiping-2021-10-28 15:42:56,365-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:42:56,688-INFO-输入用户名:admin
baiping-2021-10-28 15:42:56,691-INFO-输入内容:admin
baiping-2021-10-28 15:42:56,825-INFO-输入密码:123456
baiping-2021-10-28 15:42:56,826-INFO-输入内容:123456
baiping-2021-10-28 15:42:56,872-INFO-提交
baiping-2021-10-28 15:42:56,873-INFO-点击按钮:submit
baiping-2021-10-28 15:42:56,977-INFO-获取页面文本内容:请勿非法登录！
baiping-2021-10-28 15:43:01,619-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-28 15:43:02,075-INFO-输入用户名:admin
baiping-2021-10-28 15:43:02,076-INFO-输入内容:admin
baiping-2021-10-28 15:43:02,249-INFO-输入密码:admin
baiping-2021-10-28 15:43:02,250-INFO-输入内容:admin
baiping-2021-10-28 15:43:02,318-INFO-提交
baiping-2021-10-28 15:43:02,319-INFO-点击按钮:submit
baiping-2021-10-28 15:43:02,588-INFO-切换frame:Links
baiping-2021-10-28 15:43:07,630-INFO-点击按钮://*[@id="Bar_panel0_b0"]/img
baiping-2021-10-28 15:43:07,678-INFO-切换frame:main
baiping-2021-10-28 15:43:12,741-INFO-点击按钮:/html/body/center/table[2]/tbody/tr[2]/td[2]/a
baiping-2021-10-28 15:43:12,885-INFO-切换窗体:新增客户信息
baiping-2021-10-28 15:43:13,214-INFO-输入内容:c004
baiping-2021-10-28 15:43:13,282-INFO-输入内容:mike
