baiping-2021-11-01 09:33:23,773-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 09:33:24,110-INFO-输入用户名:admin
baiping-2021-11-01 09:33:24,111-INFO-输入内容:admin
baiping-2021-11-01 09:33:24,179-INFO-输入密码:admin
baiping-2021-11-01 09:33:24,179-INFO-输入内容:admin
baiping-2021-11-01 09:33:24,229-INFO-提交
baiping-2021-11-01 09:33:24,230-INFO-点击按钮:submit
baiping-2021-11-01 09:33:24,638-INFO-切换frame:main
baiping-2021-11-01 09:33:29,711-INFO-获取页面文本内容:欢迎使用报价管理系统
baiping-2021-11-01 09:33:33,276-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 09:33:33,406-INFO-输入用户名:admin
baiping-2021-11-01 09:33:33,407-INFO-输入内容:admin
baiping-2021-11-01 09:33:33,473-INFO-输入密码:123456
baiping-2021-11-01 09:33:33,474-INFO-输入内容:123456
baiping-2021-11-01 09:33:33,529-INFO-提交
baiping-2021-11-01 09:33:33,529-INFO-点击按钮:submit
baiping-2021-11-01 09:33:33,654-INFO-获取页面文本内容:请勿非法登录！
baiping-2021-11-01 09:33:37,054-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 09:33:37,153-INFO-输入用户名:admin
baiping-2021-11-01 09:33:37,154-INFO-输入内容:admin
baiping-2021-11-01 09:33:37,218-INFO-输入密码:admin
baiping-2021-11-01 09:33:37,218-INFO-输入内容:admin
baiping-2021-11-01 09:33:37,278-INFO-提交
baiping-2021-11-01 09:33:37,278-INFO-点击按钮:submit
baiping-2021-11-01 09:33:37,441-INFO-切换frame:Links
baiping-2021-11-01 09:33:42,484-INFO-点击按钮://*[@id="Bar_panel0_b0"]/img
baiping-2021-11-01 09:33:42,558-INFO-切换frame:main
baiping-2021-11-01 09:33:47,678-INFO-点击按钮:/html/body/center/table[2]/tbody/tr[2]/td[2]/a
baiping-2021-11-01 09:33:47,807-INFO-切换窗体:新增客户信息
baiping-2021-11-01 09:33:47,921-INFO-输入内容:c004
baiping-2021-11-01 09:33:47,993-INFO-输入内容:mike
baiping-2021-11-01 09:33:48,061-INFO-输入内容:
baiping-2021-11-01 09:33:48,112-INFO-输入内容:
baiping-2021-11-01 09:33:48,160-INFO-输入内容:
baiping-2021-11-01 09:33:48,207-INFO-输入内容:
baiping-2021-11-01 09:33:48,253-INFO-点击按钮:saveButton
baiping-2021-11-01 09:33:48,395-INFO-获取页面文本内容:添加记录成功！
本窗口将在3秒后自动关闭
baiping-2021-11-01 09:33:48,395-INFO-切换窗体:报价管理系统
baiping-2021-11-01 09:33:48,410-INFO-切换frame:Links
